"activityId","hasActivityType","hasLocation","hasTemporalExtent"
"A_WHEA_BE","A_WHEA","BE",2011
"A_OCER_BE","A_OCER","BE",2011
"A_FVEG_BE","A_FVEG","BE",2011
"A_OILS_BE","A_OILS","BE",2011
"A_SUGB_BE","A_SUGB","BE",2011
"A_FIBR_BE","A_FIBR","BE",2011
"A_OTCR_BE","A_OTCR","BE",2011
"A_CATL_BE","A_CATL","BE",2011
"A_PIGS_BE","A_PIGS","BE",2011
"A_PLTR_BE","A_PLTR","BE",2011
"A_OMEA_BE","A_OMEA","BE",2011
"A_OANP_BE","A_OANP","BE",2011
"A_MILK_BE","A_MILK","BE",2011
"A_MANC_BE","A_MANC","BE",2011
"A_FORE_BE","A_FORE","BE",2011
"A_FISH_BE","A_FISH","BE",2011
"A_ONFO_BE","A_ONFO","BE",2011
"A_STON_BE","A_STON","BE",2011
"A_SDCL_BE","A_SDCL","BE",2011
"A_CHMF_BE","A_CHMF","BE",2011
"A_PCAT_BE","A_PCAT","BE",2011
"A_PPIG_BE","A_PPIG","BE",2011
"A_PPLT_BE","A_PPLT","BE",2011
"A_POME_BE","A_POME","BE",2011
"A_VOIL_BE","A_VOIL","BE",2011
"A_DAIR_BE","A_DAIR","BE",2011
"A_SUGR_BE","A_SUGR","BE",2011
"A_OFOD_BE","A_OFOD","BE",2011
"A_BEVR_BE","A_BEVR","BE",2011
"A_FSHP_BE","A_FSHP","BE",2011
"A_TOBC_BE","A_TOBC","BE",2011
"A_TEXT_BE","A_TEXT","BE",2011
"A_GARM_BE","A_GARM","BE",2011
"A_LETH_BE","A_LETH","BE",2011
"A_WOOD_BE","A_WOOD","BE",2011
"A_WOOW_BE","A_WOOW","BE",2011
"A_PULP_BE","A_PULP","BE",2011
"A_PAPR_BE","A_PAPR","BE",2011
"A_PAPE_BE","A_PAPE","BE",2011
"A_MDIA_BE","A_MDIA","BE",2011
"A_COKE_BE","A_COKE","BE",2011
"A_REFN_BE","A_REFN","BE",2011
"A_NUCF_BE","A_NUCF","BE",2011
"A_PLAS_BE","A_PLAS","BE",2011
"A_PLAW_BE","A_PLAW","BE",2011
"A_NFER_BE","A_NFER","BE",2011
"A_PFER_BE","A_PFER","BE",2011
"A_CHEM_BE","A_CHEM","BE",2011
"A_RUBP_BE","A_RUBP","BE",2011
"A_GLAS_BE","A_GLAS","BE",2011
"A_GLAW_BE","A_GLAW","BE",2011
"A_CRMC_BE","A_CRMC","BE",2011
"A_BRIK_BE","A_BRIK","BE",2011
"A_CMNT_BE","A_CMNT","BE",2011
"A_ASHW_BE","A_ASHW","BE",2011
"A_ONMM_BE","A_ONMM","BE",2011
"A_STEL_BE","A_STEL","BE",2011
"A_STEW_BE","A_STEW","BE",2011
"A_PREM_BE","A_PREM","BE",2011
"A_ALUW_BE","A_ALUW","BE",2011
"A_LZTP_BE","A_LZTP","BE",2011
"A_LZTW_BE","A_LZTW","BE",2011
"A_COPP_BE","A_COPP","BE",2011
"A_COPW_BE","A_COPW","BE",2011
"A_ONFM_BE","A_ONFM","BE",2011
"A_ONFW_BE","A_ONFW","BE",2011
"A_METC_BE","A_METC","BE",2011
"A_FABM_BE","A_FABM","BE",2011
"A_MACH_BE","A_MACH","BE",2011
"A_OFMA_BE","A_OFMA","BE",2011
"A_ELMA_BE","A_ELMA","BE",2011
"A_RATV_BE","A_RATV","BE",2011
"A_MEIN_BE","A_MEIN","BE",2011
"A_MOTO_BE","A_MOTO","BE",2011
"A_OTRE_BE","A_OTRE","BE",2011
"A_FURN_BE","A_FURN","BE",2011
"A_RYMS_BE","A_RYMS","BE",2011
"A_BOTW_BE","A_BOTW","BE",2011
"A_POWC_BE","A_POWC","BE",2011
